Block,Plant_ID,Myco_fungi,Rhizobia,Shoot_mass,Root_mass,Nodule_count,Nodule_mass
1,1,+,+,18.029,,,
1,2,-,-,14.544,,,
1,3,-,+,22.978,,40,0.463
1,4,+,+,25.328,28.078,39,0.726
1,5,-,+,17.79,,,0.33
1,6,-,+,16.472,33.21,53,
1,7,-,-,23.733,18.303,0,
1,8,+,-,,1.152,0,
1,9,+,-,18.352,,,
1,10,-,-,22.072,,,
1,11,+,-,25.656,26.816,0,
1,12,+,+,26.57,,59,0.282
1,13,+,-,26.93,43.737,0,
1,14,-,+,21.005,,,
1,15,+,+,32.859,,,
1,16,-,+,24.638,23.026,44,0.636
1,17,-,-,8.907,17.636,0,
1,18,-,-,19.511,,,
1,19,-,-,41.083,,0,
1,20,-,+,20.594,,,
1,21,+,+,26.94,,,
1,22,+,-,11.406,,,
1,23,+,-,8.4,,,
1,24,+,+,14.458,24.664,18,0.799
2,25,+,-,17.168,34.093,0,
2,26,+,-,19.72,,,
2,27,-,-,16.45,30.299,0,
2,28,-,+,11.903,,,
2,29,+,+,13.976,24.954,15,1.391
2,30,+,-,10.958,,,
2,31,-,-,7.036,4.313,0,
2,32,+,+,19.549,35.365,20,0.672
2,33,-,+,19.056,48.168,22,0.916
2,34,-,-,17.029,,,
2,35,+,+,31.343,,,
2,36,-,+,10.994,28.26,11,0.568
2,37,+,-,29.142,,0,
2,38,-,+,21.052,32.245,27,0.665
2,39,+,-,16.817,,,
2,40,+,+,19.998,,,
2,41,+,+,27.039,48.42,37,0.74
2,42,+,+,14.028,,,
2,43,-,-,22.831,,,
2,44,-,+,27.901,,,
2,45,-,+,11.827,,,
2,46,+,-,21.423,27.652,0,
2,47,-,-,24.779,,,
2,48,-,-,21.693,41.291,0,
3,49,+,+,29.026,38.07,60,0.426
3,50,+,-,23.822,,0,
3,51,-,-,15.174,,,
3,52,-,+,17.685,,,
3,53,+,+,29.889,35.024,43,0.696
3,54,-,+,4.051,,0,
3,55,+,-,14.801,,,
3,56,-,-,13.794,21.35,0,
3,57,+,-,18.56,29.982,0,
3,58,-,-,16.93,,,
3,59,-,+,4.622,,,
3,60,+,+,33.537,33.602,60,0.54
3,61,+,-,20.675,,,
3,62,-,+,21.333,61.263,21,0.577
3,63,-,+,18.46,,,
3,64,-,-,12.806,25.995,0,
3,65,+,+,13.168,,,
3,66,+,-,20.958,,,
3,67,-,+,25.485,33.445,34,0.782
3,68,+,-,25.357,28.924,0,
3,69,+,+,15.663,,,
3,70,-,-,19.456,,,
3,71,+,+,16.914,,,
3,72,-,-,20.972,56.883,0,
4,73,-,+,19.518,,,
4,74,+,-,14.468,22.966,0,
4,75,+,-,8.992,,,
4,76,+,+,48.31,46.276,66,0.793
4,77,-,-,19.653,,,
4,78,-,+,21.449,,,
4,79,-,-,16.577,22.553,0,
4,80,+,-,20.055,38.557,0,
4,81,+,+,25.243,,,
4,82,+,+,29.23,,,
4,83,-,-,33.357,,,
4,84,-,+,32.361,20.483,46,0.515
4,85,-,+,8.938,,0,
4,86,-,+,14.249,19.985,11,0.277
4,87,+,-,21.083,,,
4,88,-,+,25.124,,,
4,89,-,-,23.491,52.446,0,
4,90,+,-,21.483,,,
4,91,-,-,20.092,,,
4,92,-,-,31.667,68.519,0,
4,93,+,+,22.904,41.236,30,0.678
4,94,+,+,27.067,38.395,56,0.472
4,95,+,+,26.283,,,
4,96,+,-,25.117,26.461,0,
5,97,-,+,18.84,26.135,26,0.765
5,98,+,-,27.064,27.01,0,
5,99,+,+,28.993,29.465,44,0.561
5,100,-,-,20.89,22.424,0,
5,101,+,+,30.437,,,
5,102,-,-,16.85,28.202,0,
5,103,-,-,35.23,,,
5,104,-,+,18.716,,,
5,105,+,+,27.105,,,
5,106,+,-,22.891,,,
5,107,+,-,12.226,17.728,0,
5,108,-,+,28.086,,,
5,109,-,+,25.982,,,
5,110,+,+,23.675,,,
5,111,+,+,19.227,32.079,23,0.668
5,112,+,-,21.224,,,
5,113,-,-,14.879,,,
5,114,-,-,24.397,37.734,0,
5,115,+,-,33.713,54.316,0,
5,116,-,-,7.545,,,
5,117,+,+,18.591,17.397,20,0.387
5,118,+,-,17.544,,,
5,119,-,+,17.33,29.733,13,
5,120,-,+,20.282,23.048,26,0.428
